product,title,rating,body
"YETI Rambler 20 oz Tumbler, Stainless Steel, Vacuum Insulated with MagSlider Lid, White","Finally, the perfect travel coffee mug!",5.0,"Yeah, Yeti vacuum products keep things hot or cold for ever.  But who wants coffee to be piping, burning hot for 5 hours.  I want to drink it in the morning!  That's not what makes this great but, yeah, it does keep it hot forever, yada yada.  What makes this great is the magnetic seal at the top - that is pure genius, people!  It pops right off easily for cleaning, doesn't trap nasty coffee goo and works better than any I've ever had.  Perfection.  And, yes, this mug keeps your coffee hot forever.  Or you can leave the top off for 10 mins like I do so you can drink it when you want...in the morning!"
"YETI Rambler 20 oz Tumbler, Stainless Steel, Vacuum Insulated with MagSlider Lid, White","Fake yeti ""patorpending""",1.0,"I've had this tumbler for a while, I never really liked it. It worked ok, but I thought that it just wasn't living up to the hype. Come to realize, it's not a real yeti tumbler. On the bottom, it says ""patorpending visit yeti.com/patorpending."" PAT OR PENDING. I'm laughing out loud. Anyways, don't waist your money!"
"YETI Rambler 20 oz Tumbler, Stainless Steel, Vacuum Insulated with MagSlider Lid, White",Perfect!,5.0,"I have been using this for three months and can say without equivocation that it's the best tumbler I've ever had.  Does it keep my coffee hot?  Oh yeah -- for hours!  Is it durable?  Absolutely -- unbreakable, undentable, completely stainless.  Is it easy to clean?  Takes a few seconds.  Dark coffee, hot chocolate, tea, you name it -- it rinses out in seconds with zero staining.At first I thought that no tumbler could be worth this price, but now I am a huge fan.  I don't know if it will last forever, but I'm absolutely certain that I will get many years of use out of it."
"YETI Rambler 20 oz Tumbler, Stainless Steel, Vacuum Insulated with MagSlider Lid, White",It leaks. Factory defect.,1.0,"The media could not be loaded.
                




   I just received this Yeti yesterday. The lid is not leak-proof. There seems to be a hole in the underside of the lid. I uploaded a video. It appears to be a factory defect, or a mistake in the ways they plug the two holes on either side of the slide lid. I'll be returning this thing. I was hoping that spending so much money on one rambler would guarantee that I would get something of great quality. I really needed the lid to be leak-proof because this rambler is going into my fiance's lunch bag & it won't be set upright."
"YETI Rambler 20 oz Tumbler, Stainless Steel, Vacuum Insulated with MagSlider Lid, White",never have I've been so disappointed with a purchase,1.0,"Not impressed at all! I've owned Yeti products for years, never have I've been so disappointed with a purchase! Both Rambler's I received a week ago already have fading spot's all over. They look absolutely hideous. The slider lids simply don't work. Even while completely closed, the lids release liquid. Either these Rambler's are poor quality knock-offs or Yeti has lowered their quality control standards and have begun to use cheaper processes during production. Even though this Amazon, I probably won't get a refund. The packaging was thrown away immediately after getting both of them. So, would I ever own another Yeti? Not very likely after this experience."
"YETI Rambler 20 oz Tumbler, Stainless Steel, Vacuum Insulated with MagSlider Lid, White",Love my YETI cup!,4.0,"Only just started drinking coffee (only took me 30 years) and my dad has a larger YETI mug, so I decided to try this one out.The Good: Decent size. Fits in my cup holder. Very stylish looking if I'm honest. Does keep drinking pretty hot/warm for a couple of hours (hard to test as I don't let drinks linger for too long). While the inside stays hot, the outside feels room temperature, not hot at all! Easy to drink from, I never feel like I'm about to spill it. The rubber between the top and the cup does a great job keeping the liquid in, and I've had no leaks from it. Siding has a decent grip to it, and my hand fits well around it, so I never feel like I'm going to drop it. The slider comes off and makes everything SUPER easy to clean, and it pops back and forth with ease, staying in it's proper place.The Bad: I REALLY wanted to give this thing 5 starts. I'd honestly give it a 4.5 if I could, but the one drawback concerning the magnetic slider (you can read my upsides about the slider above). The slider doesn't prevent leaking from an inverted cup. It DOES do a great job of ensuring your beverage doesn't jump up out of the cup if you hit a speed bump, and the liquid will come out a bit onto the top (which is set downward like a pool, so it doesn't actually leak down the side of the cup or anything). But it doesn't prevent full leakage if the cup were to topple over. Still, it's ONE drawback about an amazing product.I very much recommend this cup!!! I've been using it daily since I bought it, and may buy another as a gift when the winter comes around."
"YETI Rambler 20 oz Tumbler, Stainless Steel, Vacuum Insulated with MagSlider Lid, White","The lid is designed to be splash proof, not leak proof.",5.0,"I was skeptical about this tumbler based on the reviews and pictures I saw here but I’m very happy with mine. Love the color and my coffee stays warm from the first sip to the last. I also like the lid. People here complain that it leaks but it’s not designed to be leak proof, just splash proof. I like that I can remove it easily to clean it throughly. Mine arrived in perfect condition. I would recommend it."
"YETI Rambler 20 oz Tumbler, Stainless Steel, Vacuum Insulated with MagSlider Lid, White",Works better than advertised,5.0,"Writing on behalf of my wife: This mug keeps her Starbucks drink cold all day. Which is good because it takes her all day to drink it. Funny thing is, she still doesn’t finish the entire beverage. She used to complain that the reason she never finished the cold Starbucks brew is because it would get to warm, well let me tell you, she doesn’t have that issue any more. ALTHOUGH THE BEVERAGE STAYS ICE COLD- she still cannot manage to finish an entire beverage.. which ultimately will be poured down the drain. By myself, when I do the dishes at night. I can’t wait to hear the new excuse for why she’s unable to finish these expensive Starbucks beverages. Which literally go to waste. Every day. But at least it does indeed keep it cold from when it’s filled up in the morning to late at night when I pour it all down the drain. She says it doesnt work as well with hot beverages but still pretty good nonetheless. Hotter than if you were to use any traditional mug. So it is basically like a thermos."
"YETI Rambler 20 oz Tumbler, Stainless Steel, Vacuum Insulated with MagSlider Lid, White",YETI doesn't warranty Amazon purchases,1.0,"I own multiple YETI products, and this is the first issue I've had with one of their products.  Water was seeping out from where the base meets the rest of the mug.  I tugged on the base and it came off in my hands, and there was water that got in there, probably from the dishwasher.  The base will not reattach, and was pressure sealed.  I called Yeti yesterday, waited on hold for over an hour, and then was told that this was not uncommon and to fill out their warranty claim online.  I did so, and included the same pics you see here.  Here's the response:Hi Ron!Thanks for reaching out to YETI.We are sorry to hear about your experience. Based off the information you have provided it appears as though your tumbler was customized using a 3rd party customization process which is not covered directly under our warranty. That said, we recommend contacting the original seller in order to inquire on their specific warranty related information.To ensue you are always receiving authentic YETI gear, we recommend purchasing directly from YETI.com or from one of our authorized retailers you may find at the bottom of our site under “store locator.”Thanks for reaching out to us, and we will be sure to pass this information along to our brand protection team.Best regards,The YETI Outfitterseniquer512.394.9384customerservice@yeti.comThere was no third party customization.  Their response was bizarre.  I am posting this here because I bought this on Amazon, and am apparently out of luck because I didn't buy it on yeti.com, or an authorized retailer."
"YETI Rambler 20 oz Tumbler, Stainless Steel, Vacuum Insulated with MagSlider Lid, White","It's a YETI, it works for keeping stuff cold, and the MagSlider is overdue for YETI",5.0,"I have a few YETI ramblers that have been given to me by various companies, thus they all have the branding and logos for those companies.  They all work well for keeping my drinks, almost always ice water, cold.  This one is no different.  Here in Houston, I can have it with two large cubes, with me in and out of the car all day, multiple water refills, sitting in the heat, and by the time I have made it home there are still two, albeit smaller, ice cubes.I am not sure if it just a perception thing, but I don't think this particular rambler does as well as my other, all silver, YETI 20oz.  It seems like the silver one does an even better job at keeping things cold, but maybe I am just imagining that.  Either way, I am happy."
"YETI Rambler 20 oz Tumbler, Stainless Steel, Vacuum Insulated with MagSlider Lid, White",Nearly perfect,5.0,"Overall I'm happy with this rambler with a few minor gripes. I did a lot of research and watched countless comparison and review videos on YouTube to decide between this or the competition.While other brands have been proven to keep hots hot and colds cold for longer durations of time, this rambler is easier to to open for drinking and easier to dismantle for cleaning.Everyone has a different opinion on what temperature they consider hot and what temperature they consider cold. For myself I've found that this rambler works better for hots opposed to colds.Ice doesnt seem to last more than 1 to 2 hours even if the Beverage poured in is already cold from the fridge.18 to 20 oz of hot black coffee will still be warm 7 to 8 hours later if I do not touch it until that 7 hour mark. Everytime I open the lid to drink, some heat gets released thus bringing down the temperature.From what I've seen on YouTube and read here on Amazon, it seems like theres a 50/50 shot if someone gets a good lid or a great lid. Yeti advertises the mag lid as being spill ""resistant"", not spill ""proof"".Here's what it comes down to, the sliding magnet cover. Some videos show this rambler being held upside down with not even a drop leaking. Other videos show liquid leaking from the sliding magnet.Absolutely nothing leaks through the inner gasket around the lid which is great. Mine does unfortunately leak from the magnet sliding cover.If yeti could figure out how design the lid to guarentee the sliding magnet would not leak and it would hold temperature for just a few more hours, then I believe yeti could have a monopoly on the market."
"YETI Rambler 20 oz Tumbler, Stainless Steel, Vacuum Insulated with MagSlider Lid, White",It’s a receptacle for holding liquids!!!,5.0,"Thank you Yeti for inventing this amazing device. I was getting tired of lapping my Kool-Aid off the floor.- Appears to keep things cold, but I don’t usually keep drinks in the same cup for 24 hours in direct sunlight because I’m not an insane person.- Appears to not leak, but I’m proud to report that I haven’t had a problem keeping cups upright since about age 5, except for a brief period between age 19 and 22.- When I drink from this cup other men know I’m an alpha and women can detect that I’m good mating potential because of my obvious manliness.- On a serious note, the magnetic lid is very nice because it allows you to clean it properly. Yeti, you may have 1 extra caramel."
"YETI Rambler 20 oz Tumbler, Stainless Steel, Vacuum Insulated with MagSlider Lid, White",Poor lid design.  Doesn’t keep beverage hot.,1.0,"Not happy with it’s insulating capabilities.  The Contigo travel mug I bought at Target works better!!  Bad lid design. Not worth 30 bucks for sure. And I bought 7 of these as gifts for all my adult kids because everyone raves about what a great product YETI is.  YETI should redesign the lid, and then offer a free replacement to everyone who bought this particular mug."
"YETI Rambler 20 oz Tumbler, Stainless Steel, Vacuum Insulated with MagSlider Lid, White",Thoroughly Impressed!,5.0,"I wasn't necessarily a huge skeptic, but I did wonder what all the hype was about. After using this almost daily, it definitely lives up to its reputation. I love the simple look and it actually does hold the temperature inside incredibly well. I use this as a bring-my-own-cup option at coffee shops and it has the added benefit of keeping the coffee hot for hours. I  also love that the sip cover is magnetic and comes off - which makes it easier to clean and feel good that nothing is getting stuck in that small space. I love it!"
"YETI Rambler 20 oz Tumbler, Stainless Steel, Vacuum Insulated with MagSlider Lid, White",Overall very pleased.,5.0,"I’ll start by saying that I held off on buying these for about a year now. I had assumed that it was more of a trend kinda thing and the experience was being exaggerated. Officially, I’d say I was wrong.All in all, it’s a great product and works really well at keeping drinks cold and slowing melting ice substantially. We bought two of these a couple weeks ago right before our trip to Mexico. It was about 95* with a “Real Feel” of about 105*. We had our drinks in these out in the sun and it took the ice a good 3 hours or so to melt completely in that temperature. Even after the ice melted, the drink stayed reasonably cool for another hour or two. Cold beer in them stayed cold long enough for me to finish the whole thing.Overall, I’d say I’m quite pleased. I will note though, I did some research (after purchasing) and only certain products (and not all) are made overseas. If you’re looking to buy a US made product, you have to contact them and request it specifically, or go with a different brand. If that’s important to you, do your research first or contact them."
"YETI Rambler 20 oz Tumbler, Stainless Steel, Vacuum Insulated with MagSlider Lid, White",Impressive performance,4.0,"Authentic Yeti. I tested it immediately upon receipt and here are the test results: I poured boiling water into it and checked after 3 hours to find it still piping hot that could give you a burn. I repeated the test, this time, only fill the tumbler to half to test how it performs with only half the volume. The water is still very, very hot after 5 hours. It's temperature dropped a bit after 6 hours, but it's still quite hot. I could still feel a bit of warmth after another 11 hours!It's amazing how a little tumbler can keep liquid hot for so long. It performs way better than my Swell water bottle and it's way cheaper than a Swell.One thing is that the packing isn't that good . I think probably for that reason, it came with a small dent on the rim. I could actually feel the Yeti wobbled like crazy inside the box when it arrived. I would have given it a 5-star if it wasn't for the dent.Before I decide to go ahead and buy, I read the review here and noticed a number of people said they've bought a fake Yeti. The thing is, Yeti Authorized is the only authorized seller on Amazon according to Yeti's website. So if you choose to buy from other sellers, the authenticity will be uncertain. And don't choose colors like olive, camouflage, cos they are not colors shown on Yeti's website, meaning they are not really made by Yeti but some knock off. Hope it helps."
"YETI Rambler 20 oz Tumbler, Stainless Steel, Vacuum Insulated with MagSlider Lid, White",Excellent,5.0,"The media could not be loaded.
                




   Great with coffee, beer, and water, which are really the only things I drink with it. Love the magnetic lid piece and that it is leak-proof. When there is boiling water in the cup it is never so hot that you can't hold it."
"YETI Rambler 20 oz Tumbler, Stainless Steel, Vacuum Insulated with MagSlider Lid, White",Not leak proof,3.0,"I love Yeti products, and was honestly disappointed with this mug. After reading the directions I realized that the lid is not at all leak proof, especially with hot liquids. Even the lid itself has a manufacturers note that it’s not the best at keeping hot liquids in. Knowing all that, I tried just plain water with some ice, and kept the tumbler closed upright in a cooler. To my dismay, by the time we walked over front he car to the beach all of the tumbler contents have spilled all over the cooler. For a good product I just don’t understand why would YETI not make a leak proof lid? I’m terribly disappointed because I can’t imagine myself taking this tumbler anywhere except into my car for morning coffee and leaving it on my desk. It would be impossible to leave it in a backpack because it will definitely spill. I’m not sure if the lids I have are just totally defective, but seeing that the label on the tumbler warned against spills I’m suspicious that it’s just not a great lid.If you’re looking for a spill proof tumbler, this one sadly is not it :/"
"YETI Rambler 20 oz Tumbler, Stainless Steel, Vacuum Insulated with MagSlider Lid, White",Not a YETI magslider lid,1.0,"I love YETI, but the magslider lid that was promised is all clear and not a YETI lid.  The lid is very cheaply made and does not stay closed. Returning item"
"YETI Rambler 20 oz Tumbler, Stainless Steel, Vacuum Insulated with MagSlider Lid, White",ONLY buy from seller Yeti Authorized!,5.0,"For those concerned about counterfeit Yeti I figured out how some reviewers possibly received fake items and others didn’t. Different colors of the tumbler have different sellers but all are sold under the same item listing. Anyone who buys the item reviews in the same place. The seller Yeti Authorized definitely sells real Yeti items. For example the tumbler I bought from Yeti Authorized is real. It came with the “register your Yeti” booklet and the scannable square barcode thingy (I forget what it’s called) sticker on the bottom. It’s also heavy-ish and clearly has an acrylic lid with the mag slider. So when buying Yeti off amazon you need to buyer beware and check the seller of the item. I’m not suggesting that Yeti Authorized is the only seller of real Yeti on amazon. I’m saying that I received a real tumbler from them AND a seller with the brand name in its seller name is much more likely to be selling real items, according to research I did on counterfeit goods on amazon.Aside from that my tumbler is great. It’s definitely a quality item but at $30 I don’t expect something completely indestructible. Unlike some reviews I don’t put mine in the dishwasher. Also I don’t see how it’s necessary to do so given that mine always rinses/washes nicely. One thing to keep in mind is that this tumbler works so well that *too hot* coffee will stay too hot in the Yeti for hours. So a few times I’ve had to take the lid off to let it cool. All in all I’d say it’s worth the $30. I’m planning on getting the larger tumbler with straw and the larger bottle for the summer."
"YETI Rambler 20 oz Tumbler, Stainless Steel, Vacuum Insulated with MagSlider Lid, White",Not Worth It,2.0,"I bought these because the Contigo coffee mugs I had were staining pretty bad and leaving a bad taste in my coffee.  There's so much hype about these Yeti's and I can't tell you how disappointed I am.  First, they make this big hoopla about the magnet top.  Its worthless.  Yes, they say ""made from real magnets"", like, woohoo, who cares?  the Contigo lock locks.  it keeps things from pouring out.  This magnet acts like a passive suggestion to the coffee to stay put.  The contigo comes with a rubber-like wrap that helps with grip.  The Yeti is so smooth they might as well have made the outside from vaseline.  It doesnt keep coffee as warm as long as Contigo, which i attribute to the weak magnetic slide.  I am hoping at the very least the metal inside doesn't stain like the Contigo.  In short, if I hadn't had the contigo (cheaper than these and come in pairs at Costco) my review would be better.  This mug isn't bad, its just knowing how much better the competition is makes this look worse."
"YETI Rambler 20 oz Tumbler, Stainless Steel, Vacuum Insulated with MagSlider Lid, White",Gets cold quick and leaks terribly,1.0,"A full 20 oz cup of scalding hot coffee cooled to lukewarm in 2.5 hours sitting unopened on a table inside a warm room.  Lid leaks profusely when closed. Hot coffee doesn’t drip or slowly leak, it literally gushes out the closed lid in a 2” long stream...through a CLOSED LID.  Unlike Yeti’s enclosed explanation of liquid viscosity suggesting hot fluids are more likely to leak than cold fluids, having a 2” long stream of hot coffee gushing out of a closed lid does not even happen in my much less expensive Target brand Chinese thermal cups."
"YETI Rambler 20 oz Tumbler, Stainless Steel, Vacuum Insulated with MagSlider Lid, White",Very Impressed!,5.0,"I am not into designer labels, big names, etc. but I love this tumbler.  I can see why this brand is superior to the ""knock-offs"".  First of all, it doesn't have any interior seams. Second, it is dishwasher safe. Third, it comes with a serial number that is registered with the manufacturer and has a 5 year warranty.  The lid is extremely easy to open and close with the flip of a thumb - essential if you're going to use this while driving.  I am extremely pleased - so much so that I bought another one."
"YETI Rambler 20 oz Tumbler, Stainless Steel, Vacuum Insulated with MagSlider Lid, White","Wow, pretty awful",1.0,"The info that came w the tumbler said that the lid is not leakproof. OK, understood. What I don’t understand is how it can leak when it’s in your hand and you’re standing still. I imagined it wouldn’t be leak proof if it’s in the truck and you’re off roading but when the act of standing in one place and trying to drink makes it leak it seems like a failed product.It doesn’t keep hot drinks hot the way my cheap Contigo brand tumbler does. There needs to be something around it to grip because it’s just slick stainless steel and it can slide from your hand easily. Do not even try opening the lid once you have a hot drink in there. Just don’t. Or wear an apron and do it in the sink because you have to force the lid open.$30. My no name tumbler from Walgreens is far superior."
"YETI Rambler 20 oz Tumbler, Stainless Steel, Vacuum Insulated with MagSlider Lid, White",The perfect mug for a coffee snob!!,5.0,"Let me start by explaining I am a coffee snob. I usually purchase end up purchasing expensive coffee. But I can’t drink it before I work out.  And it sucked when I would finish my workout and find that my “insulated” coffee mug only kept it lukewarm.  Ruined my coffee. No longer. Enter the Yeti. This thing keeps my coffee crazy hot.  I also drink a ton of tea. I have to be careful using my Yeti mug because the first time I seriously burned the roof of my mouth and tongue. After I had let it sit on my desk for half an hour.  I was suffering through a cold and put my tea on my bedside table, sipping it when I started to cough. It was still warm in the morning ( not hot, but certainly warmer than room temperature). I don’t have to work outside, but if I did, this is the mug I would want."
"YETI Rambler 20 oz Tumbler, Stainless Steel, Vacuum Insulated with MagSlider Lid, White",Leaked.  So I was sad because I really wanted it to work.,1.0,"Leaked and decided to go back to a cups I can buy at Target.I had really hoped that I would have a good experience because the packaging, size, and all of the features it was supposed to have really attracted me.At the end of the day though it would leak when I used it to drink out of.For the price I'm not going to Monkey around I just returned it and headed off to Target. The cups I buy at Target aren't as cute but they don't leak on me."
"YETI Rambler 20 oz Tumbler, Stainless Steel, Vacuum Insulated with MagSlider Lid, White",Awesome Totally Worth It,5.0,"I got a new job and was using a random coffee tumbler for a while. My drive is about an hour long and I drink about half of my coffee on the way to work and the other half there. Issue was my coffee would be lukewarm once I got to work, and sometimes I would make tea later on and it wouldn’t stay warm for over an hour. I decided to get a yeti after using my moms one day and noticing the difference in temperature and longevity. Absolutely worth it. I’ve been using it at home on weekends as well. I live in new england so the house is usually cold in the morning during these months and coffee in a regular mug only stays hot for 10 minutes or so before going tepid. I normally have to put my coffee in the microwave 3 or 4 times just to keep it warm, but the yeti keeps it piping hot for hours and I can take my time sipping on it. Overall so happy and impressed with this product."
"YETI Rambler 20 oz Tumbler, Stainless Steel, Vacuum Insulated with MagSlider Lid, White",Not everything I was hoping for,3.0,"I bought one of these because it was the same price as my favorite vacuum sealed coffee cup. I like this cup and the new mag slide lid but it does not form a seal that will keep it from spilling if tipped over. The lid will keep it from splashing if it’s upright in a car going over speed bumps, for example. For my every day coffee cup that gets tossed in a bag for my commute, it’s back to the Thermos Sipp"
"YETI Rambler 20 oz Tumbler, Stainless Steel, Vacuum Insulated with MagSlider Lid, White",Not leak proof...,3.0,"While fine print clarifies it’s not leak proof, principally purchased to have a leak proof tumbler. Fully admit I presumed for $30 and being Yeti...  it’d be leak proof.  So lesson learned: even if you have a perception of a particular brand...  still pays to do your research. If it’s knocked over, even with lid sealed, it’ll leak. Not a river, but enough to ruin paper, soil carpet, get whatever’s inside on electronics. Otherwise, it’s as advertised. It’d be nice if the lack of leakproofing and what spillproof means were more prominently displayed/ discussed/ clarified. Judging from other’s comments, it appears this is a common misconception (or source of misunderstanding)."
"YETI Rambler 20 oz Tumbler, Stainless Steel, Vacuum Insulated with MagSlider Lid, White",Feels and looks real...,5.0,I don't know what the other people are saying about fakes. This Yeti is 100% legit. It has the mag slider lid and keeps my drinks hot as hot and cold as cold! Highly reccomend.
"YETI Rambler 20 oz Tumbler, Stainless Steel, Vacuum Insulated with MagSlider Lid, White",Stays Hot!,5.0,"Great product! I wish is was leak proof. But, your coffee stays hot! I haven't tried anything cold, so that I can't speak to. But!, I love it.  (I bought a good one from starbucks years ago, and lost it, was never able to replace it--they changed something...) This is better, by far! Except for the leak proof feature. I love the lid, with the removable glider, for easier cleaning.  After, I purchased it, I was so thrilled with it, I bought one for my daughter. If you're going to get the 30 oz, I recommend purchasing the handle as well, unless your hands are large or opt for the 20 oz. Almost perfect!"
"YETI Rambler 20 oz Tumbler, Stainless Steel, Vacuum Insulated with MagSlider Lid, White",Test results were surprising,4.0,Bought this for my husband as a surprise thinking it would be better than the no name stainless steel I use. Was very disappointed when I tested the same number of ice cubes in each and left them on the counter overnight. The Yeti had water with no ice and my no name had two ice cubes in it the next morning.  I was quite surprised so don’t really think it’s worth the extra money just for the name.
"YETI Rambler 20 oz Tumbler, Stainless Steel, Vacuum Insulated with MagSlider Lid, White",Good performer but not leakproof,3.0,"I wanted to love my Yeti Rambler, but it failed at the one most important thing I bought it for. Yes, it is well made, strong, attractive and keeps things hot/cold a really long time, but unfortunately the magslide top isn’t leakproof. I bought this to use on the go and be confident that if it got knocked over, it wouldn’t leak. Unfortunately, it fails that test.I know other reviewers mentioned that it’s not leakproof, but I made the mistake of seeing it a local store where the salesgirl assured me that magslide lids are indeed leakproof...should have done more research.I require something that’s easy to open/close with one hand even when you’re being bounced around in turbulence, and if it tips over, I can’t have it spilling all over my vehicle. Sadly, this Yeti isn’t that, and the price is high for just another insulated coffee cup."
"YETI Rambler 20 oz Tumbler, Stainless Steel, Vacuum Insulated with MagSlider Lid, White",not impressed,2.0,"I just received this so I can not comment on durability.  Considering the price and all the ""hoopla"" that comes with the Yeti name, you would think they could make this leak proof.  I guess I was hoping it would be but the enclosed information clearly states ""leak resistant"".  Even that is a stretch.  It leaks.  The outer layer is slippery and the tumbler is wide so holding it isn't easy."
"YETI Rambler 20 oz Tumbler, Stainless Steel, Vacuum Insulated with MagSlider Lid, White",Fantastic insulated cup,5.0,I recently received the 20oz rambler stainless steel color for a birthday gift. I've had other insulated mugs but this one just puts the competition to shame. On how long the rambler keeps the coffee hot. Yes I said HOT like fresh out of the pot hot for well over two hours. My wife was so impressed with the Yeti that I surprised her with one in Brick Red she loves it. I think the slide on the lid helps out a lot keeping the beverage hot.
